,Wavelength,SPIRE_500,SPIRE_350,SPIRE_250,dlambda
440,589.985,0.740086,0.0,4.78671e-06,3.502
441,593.487,0.776073,0.0,5.12642e-06,3.543
442,597.03,0.761119,0.0,5.22688e-06,3.586
443,600.616,0.771775,0.0,5.19605e-06,3.264
444,603.88,0.788568,0.0,5.30237e-06,3.669
445,607.549,0.791716,0.0,5.33915e-06,3.713
446,611.262,0.346298,0.0,5.37189e-06,3.76
447,615.022,0.193661,0.0,5.49747e-06,3.805
448,618.827,0.130123,0.0,5.68147e-06,3.466
449,622.293,0.0953178,0.0,5.91005e-06,3.897
450,626.19,0.0749302,0.0,6.08265e-06,3.946
451,630.136,0.0586051,0.0,5.92649e-06,3.995
452,634.131,0.0475254,0.0,5.7764e-06,3.64
453,637.771,0.0391422,0.0,5.4889e-06,4.094
454,641.865,0.0328274,0.0,5.03229e-06,4.146
455,646.011,0.0271446,0.0,4.61005e-06,4.2
456,650.211,0.0223345,0.0,4.38538e-06,4.256
457,654.467,0.0189013,0.0,4.24533e-06,3.877
